Id,Position,Name,LastName,Age,Gender,Country,Worth,Image,Sector,Company
8848,16,Alice Walton,Walton,68,Female,United States,46.0,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,Fashion & Retail ,Walmart
9232,17,Ma Huateng,Ma,46,Male,China,45.3,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832,Technology ,Internet Media
7211,18,Francoise Bettencourt Meyers,Bettencourt Meyers,64,Female,None,42.2,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849,Fashion & Retail ,L'Oreal
3811,19,Mukesh Ambani,Ambani,61,None,None,40.1,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223,Energy ,"Petrochemicals, Oil & Gas"
2798,20,Jack Ma,Ma,53,Male,None,39.0,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389,Technology ,E-Commerce
7742,21,Sheldon Adelson,Adelson,84,Male,None,38.5,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,Gambling & Casinos ,Casinos
7858,22,Steve Ballmer,Ballmer,62,Male,None,38.4,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617,Technology ,Microsoft
1608,23,Li Ka-Shing,Li,90,Male,None,34.9,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661,Diversified ,Diversified
3372,24,Hui Ka Yan,Hui,59,Male,None,30.3,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756,Real Estate ,Real Estate
9281,25,Lee Shau Kee,Lee,90,None,None,30.3,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082,Real Estate ,Real Estate
5331,26,Wang Jianlin,Wang,63,None,China,30.0,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280,Real Estate ,Real Estate
5684,27,Beate Heister & Karl Albrecht Jr.,Albrecht Jr.,66,,Germany,29.8,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340,Fashion & Retail ,Supermarkets
4144,28,Phil Knight,Knight,80,Male,None,29.6,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,Fashion & Retail ,Nike
2977,29,Jorge Paulo Lemann,Lemann,78,None,None,27.4,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667,Food And Beverage ,Beer
9781,30,Francois Pinault,Pinault,81,None,None,27.0,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866,Fashion & Retail ,Luxury Goods
1503,31,Georg Schaeffler,Schaeffler,53,Male,None,25.3,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,Automotive ,Auto Parts
1149,32,Susanne Klatten,Klatten,56,Female,None,25.0,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,Automotive ,"Bmw, Pharmaceuticals"
9592,33,David Thomson,Thomson,61,None,None,25.0,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,Media & Entertainment ,Media
8490,34,Jacqueline Mars,Mars,78,None,None,23.6,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,Food And Beverage ,"Candy, Pet Food"
1423,35,John Mars,Mars,82,Male,None,23.6,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,Food And Beverage ,"Candy, Pet Food"
5199,36,Joseph Safra,Safra,79,Male,Brazil,23.5,https://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,Finance And Investments ,Banking
9655,37,Giovanni Ferrero,Ferrero,53,Male,None,23.0,https://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,Food And Beverage ,"Nutella, Chocolates"
4405,38,Dietrich Mateschitz,Mateschitz,74,Male,None,23.0,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832,Food And Beverage ,Red Bull
7998,39,Michael Dell,Dell,53,Male,United States,22.7,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907,Technology ,Dell Computers
3561,40,Masayoshi Son,Son,60,Male,None,22.7,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334,Telecom ,"Internet, Telecom"
3936,41,Serge Dassault,Dassault,93,None,France,22.6,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816,Diversified ,Diversified
9017,42,Stefan Quandt,Quandt,52,Male,Germany,22.0,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743,Automotive ,Bmw
7373,43,Yang Huiyan,Yang,37,Female,None,21.9,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,Real Estate ,Real Estate
9532,44,Paul Allen,Allen,65,None,None,21.7,https://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,Technology ,"Microsoft, Investments"
2589,45,Leonardo Del Vecchio,Del Vecchio,83,Male,None,21.2,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,Fashion & Retail ,Eyeglasses
4994,46,Dieter Schwarz,Schwarz,78,Male,None,20.9,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,Fashion & Retail ,Retail
9030,47,Thomas Peterffy,Peterffy,73,None,United States,20.3,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,Finance And Investments ,Discount Brokerage
7117,48,"Theo Albrecht, Jr.",Albrecht,67,None,Germany,20.2,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,Fashion & Retail ,"Aldi, Trader Joe'S"
2171,49,Len Blavatnik,Blavatnik,61,Male,United States,20.2,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299,Diversified ,Diversified
2639,50,He Xiangjian,He,75,Male,None,20.1,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404,Manufacturing ,Home Appliances
7110,51,Lui Che Woo,Lui,89,Male,None,20.1,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,Gambling & Casinos ,Casinos
4566,52,James Simons,Simons,80,None,None,20.0,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,Finance And Investments ,Hedge Funds
2681,53,Henry Sy,Sy,93,Male,None,20.0,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647,Diversified ,Diversified
1587,54,Elon Musk,Musk,46,None,None,19.9,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159,Automotive ,Tesla Motors
6844,55,Hinduja Family,Hinduja,0,Male,None,19.5,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165,Diversified ,Diversified
8344,56,Tadashi Yanai,Yanai,69,None,None,19.5,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501,Fashion & Retail ,Fashion Retail
7414,57,Vladimir Lisin,Lisin,62,Male,Russia,19.1,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012,Metals & Mining ,"Steel, Transport"
1997,58,Laurene Powell Jobs,Powell Jobs,54,Female,None,18.8,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333,Philanthropy/Ngo ,"Apple, Disney"
3439,59,Azim Premji,Premji,72,Male,India,18.8,https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592,Technology ,Software Services
9121,60,Alexey Mordashov,Mordashov,52,Male,Russia,18.7,https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667,Metals & Mining ,"Steel, Investments"
5065,61,Lee Kun-Hee,Lee,76,None,South Korea,18.6,https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737,Diversified ,Samsung
3870,62,Lakshmi Mittal,Mittal,68,None,None,18.5,https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359,Metals & Mining ,Steel
8210,63,Wang Wei,Wang,48,None,China,18.2,https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834,Service ,Package Delivery
8710,64,Leonid Mikhelson,Mikhelson,62,Male,Russia,18.0,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522,Energy ,"Gas, Chemicals"
2547,65,Charoen Sirivadhanabhakdi,Sirivadhanabhakdi,74,Male,None,17.9,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,Food And Beverage ,"Drinks, Real Estate"
6754,66,Pallonji Mistry,Mistry,89,Male,None,17.8,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,Construction & Engineering ,Construction
1822,67,Ray Dalio,Dalio,68,Male,None,17.7,https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478,Finance And Investments ,Hedge Funds
5320,68,Takemitsu Takizaki,Takizaki,73,Male,Japan,17.5,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860,Manufacturing ,Sensors
4876,69,William Ding,Ding,46,Male,China,17.4,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063,Technology ,Online Games
3782,70,R. Budi Hartono,Hartono,77,Male,None,17.4,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754,Finance And Investments ,"Banking, Tobacco"
2231,71,Gina Rinehart,Rinehart,64,None,None,17.4,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995,Metals & Mining ,Mining
3145,72,German Larrea Mota Velasco,Larrea Mota Velasco,64,Male,None,17.3,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,Metals & Mining ,Mining
9094,73,Carl Icahn,Icahn,82,None,United States,16.8,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744,Finance And Investments ,Investments
5694,74,Stefan Persson,Persson,70,Male,None,16.8,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,Fashion & Retail ,H&M
3700,75,Michael Hartono,Hartono,78,Male,None,16.7,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,Manufacturing ,"Banking, Tobacco"
6631,76,Joseph Lau,Lau,66,Male,None,16.7,https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033,Real Estate ,Real Estate
3115,77,Thomas & Raymond Kwok,Kwok,0,Male,Hong Kong,16.5,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915,Real Estate ,Real Estate
8768,78,Vagit Alekperov,Alekperov,67,Male,Russia,16.4,https://specials-images.forbesimg.com/imageserve/5a80c400a7ea431690133cb7/416x416.jpg?background=000000&cropX1=481&cropX2=2139&cropY1=0&cropY2=1658,Energy ,Oil
9740,79,James Ratcliffe,Ratcliffe,65,Male,None,16.4,https://specials-images.forbesimg.com/imageserve/5a815b254bbe6f2652f547e0/416x416.jpg?background=000000&cropX1=252&cropX2=2046&cropY1=814&cropY2=2608,Manufacturing ,Chemicals
9684,80,Donald Bren,Bren,86,Male,United States,16.3,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556,Real Estate ,Real Estate
7191,81,Iris Fontbona,Fontbona,75,Female,None,16.3,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556,Metals & Mining ,Mining
3486,82,Gennady Timchenko,Timchenko,65,None,None,16.0,https://specials-images.forbesimg.com/imageserve/5a80a596a7ea431690133b09/416x416.jpg?background=000000&cropX1=5&cropX2=2533&cropY1=460&cropY2=2990,Energy ,"Oil, Gas"
2412,83,Abigail Johnson,Johnson,56,None,United States,15.9,https://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621,Finance And Investments ,Money Management
2488,84,Vladimir Potanin,Potanin,57,Male,None,15.9,https://specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181,Metals & Mining ,Metals
6895,85,Lukas Walton,Walton,32,Male,USA,15.9,https://specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181,Fashion & Retail ,Walmart
5227,86,Charlene De Carvalho-Heineken,De Carvalho-Heineken,63,Female,None,15.8,https://specials-images.forbesimg.com/imageserve/5a7fd414a7ea4316901331b7/416x416.jpg?background=000000&cropX1=0&cropX2=3280&cropY1=887&cropY2=4168,Food And Beverage ,Heineken
1711,87,Zhang Zhidong,Zhang,46,Male,People's Republic of China,15.6,https://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=18&cropY2=762,Technology ,Internet Media
1510,88,Petr Kellner,Kellner,54,Male,Czech Republic,15.5,https://specials-images.forbesimg.com/imageserve/4023ab5df9aad04f544e7dfde9031598/416x416.jpg?background=000000&cropX1=32&cropX2=723&cropY1=3&cropY2=694,Finance And Investments ,Banking
7657,89,Andrey Melnichenko,Melnichenko,46,Male,None,15.5,https://specials-images.forbesimg.com/imageserve/5a809da44bbe6f2652f53def/416x416.jpg?background=000000&cropX1=651&cropX2=3302&cropY1=6&cropY2=2656,Energy ,"Coal, Fertilizers"
1384,90,David & Simon Reuben,Reuben,0,Male,None,15.5,https://specials-images.forbesimg.com/imageserve/58ee56d9a7ea437ada262e00/416x416.jpg?background=000000&cropX1=253&cropX2=1732&cropY1=64&cropY2=1543,Real Estate ,"Investments, Real Estate"
5155,91,Klaus-Michael Kuehne,Kuehne,81,Male,Germany,15.3,https://specials-images.forbesimg.com/imageserve/5a7e288b31358e4955ad1159/416x416.jpg?background=000000&cropX1=2640&cropX2=4000&cropY1=400&cropY2=1760,Logistics ,Shipping
7724,92,Li Shufu,Li,55,Male,People's Republic of China,15.3,https://specials-images.forbesimg.com/imageserve/5a7ccad231358e4955acf931/416x416.jpg?background=000000&cropX1=488&cropX2=1703&cropY1=161&cropY2=1377,Automotive ,Automobiles
3362,93,Mikhail Fridman,Fridman,54,Male,None,15.1,https://specials-images.forbesimg.com/imageserve/5a80ac47a7ea431690133b64/416x416.jpg?background=000000&cropX1=534&cropX2=3793&cropY1=7&cropY2=3263,Energy ,"Oil, Banking, Telecom"
9243,94,Rupert Murdoch,Murdoch,87,Male,None,15.0,https://specials-images.forbesimg.com/imageserve/5a8d934d4bbe6f2652f61c74/416x416.jpg?background=000000&cropX1=0&cropX2=1559&cropY1=81&cropY2=1639,Media & Entertainment ,"Newspapers, Tv Network"
1172,95,Dhanin Chearavanont,Chearavanont,79,Male,Thailand,14.9,https://specials-images.forbesimg.com/imageserve/58accecd4bbe6f0e55874019/416x416.jpg?background=000000&cropX1=61&cropX2=684&cropY1=226&cropY2=850,Diversified ,Diversified
2835,96,Robert Kuok,Kuok,94,None,None,14.8,https://specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743,Diversified ,"Palm Oil, Shipping, Property"
8420,97,Emmanuel Besnier,Besnier,47,None,None,14.7,https://specials-images.forbesimg.com/imageserve/4f21e64d970512f81a766649fb072f0d/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=2&cropY2=743,Food And Beverage ,Cheese
4811,98,Shiv Nadar,Nadar,72,Male,None,14.6,https://specials-images.forbesimg.com/imageserve/37d84982997cb979720fb6f28fa88067/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=111&cropY2=855,Technology ,Software Services
5824,99,Viktor Vekselberg,Vekselberg,61,Male,Russia,14.4,https://specials-images.forbesimg.com/imageserve/5a80c89231358e4955ad2ca8/416x416.jpg?background=000000&cropX1=752&cropX2=3164&cropY1=5&cropY2=2416,Energy ,"Metals, Energy"
9871,100,Aliko Dangote,Dangote,61,Male,Nigeria,14.1,https://specials-images.forbesimg.com/imageserve/5a7fd828a7ea43169013322e/416x416.jpg?background=000000&cropX1=240&cropX2=2897&cropY1=11&cropY2=2667,Manufacturing ,"Cement, Sugar, Flour"
3571,101,Harold Hamm,Hamm,72,Male,None,14.1,https://specials-images.forbesimg.com/imageserve/59d563d8a7ea436b47b371d7/416x416.jpg?background=000000&cropX1=1310&cropX2=2937&cropY1=960&cropY2=2589,Energy ,Oil & Gas
4793,102,Steve Cohen,Cohen,62,None,United States,14.0,https://specials-images.forbesimg.com/imageserve/5a8d946e4bbe6f2652f61ca6/416x416.jpg?background=000000&cropX1=743&cropX2=3320&cropY1=91&cropY2=2667,Finance And Investments ,Hedge Funds
9855,103,Dustin Moskovitz,Moskovitz,35,Male,None,14.0,https://specials-images.forbesimg.com/imageserve/5a8d9076a7ea43169014020b/416x416.jpg?background=000000&cropX1=1208&cropX2=3374&cropY1=81&cropY2=2246,Technology ,Facebook
4686,104,Marcel Herrmann Telles,Telles,68,Male,None,14.0,https://specials-images.forbesimg.com/imageserve/5a7b8dd54bbe6f2652f4f0fa/416x416.jpg?background=000000&cropX1=6&cropX2=1812&cropY1=862&cropY2=2667,Food And Beverage ,Beer
8767,105,Reinhold Wuerth,Wuerth,83,Male,None,13.6,https://specials-images.forbesimg.com/imageserve/5a7e391a4bbe6f2652f528b8/416x416.jpg?background=000000&cropX1=562&cropX2=2916&cropY1=10&cropY2=2362,Manufacturing ,Fasteners
4234,106,Charles Ergen,Ergen,65,Male,None,13.4,https://specials-images.forbesimg.com/imageserve/59d55b4331358e542c035479/416x416.jpg?background=000000&cropX1=1400&cropX2=3175&cropY1=55&cropY2=1832,Media & Entertainment ,Satellite Tv
5432,107,Eric Schmidt,Schmidt,63,Male,USA,13.4,https://specials-images.forbesimg.com/imageserve/58c19b99a7ea431f321ad8d9/416x416.jpg?background=000000&cropX1=90&cropX2=631&cropY1=47&cropY2=588,Technology ,Google
5657,108,Philip Anschutz,Anschutz,78,Male,United States,13.0,https://specials-images.forbesimg.com/imageserve/58c1d4a4a7ea431f321add5b/416x416.jpg?background=000000&cropX1=23&cropX2=732&cropY1=37&cropY2=746,Finance And Investments ,Investments
6639,109,Jim Kennedy,Kennedy,70,Male,United States,13.0,https://specials-images.forbesimg.com/imageserve/59d5622d31358e542c0354a1/416x416.jpg?background=000000&cropX1=4433&cropX2=5352&cropY1=2354&cropY2=3272,Media & Entertainment ,Media
6548,110,Blair Parry-Okeden,Parry-Okeden,68,Female,None,13.0,https://specials-images.forbesimg.com/imageserve/59d5622d31358e542c0354a1/416x416.jpg?background=000000&cropX1=4433&cropX2=5352&cropY1=2354&cropY2=3272,Media & Entertainment ,Media
